artist,genres,followers,popularity
Haze glitch,[],11520,28
Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",15348626,87
Black Pumas,['retro soul'],1057351,64
Paul Collins,['movie tunes'],816,33
Triana,[],225,32
Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",18679330,87
SZA,"['pop', 'r&b', 'rap']",23537466,90
Adam Port,['melodic house'],199038,77
The Notorious B.I.G.,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",10794906,79
Takuya Kuroda,"['contemporary jazz', 'indie jazz', 'japanese jazz']",128192,41
Natasha Bedingfield,"['dance pop', 'pop', 'post-teen pop']",1824587,76
Yandel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",7977928,81
Capo Plaza,"['italian hip hop', 'italian pop', 'trap italiana']",3879992,74
Roger Miller,"['classic country pop', 'classic oklahoma country', 'nashville sound']",276099,54
Luvcat,[],66267,53
Noah Kahan,"['pov: indie', 'singer-songwriter pop']",3441548,87
Estopa,"['pop flamenco', 'rumba', 'spanish pop']",2092273,71
Benson Boone,['singer-songwriter pop'],3692919,86
Topic,"['german dance', 'pop dance', 'pop edm', 'uk dance']",263828,76
LOS NIKIS,['spanish new wave'],35129,37
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27071086,92
No Te Va Gustar,"['latin alternative', 'reggae uruguayo', 'rock en espanol', 'rock uruguayo']",2350906,70
*NSYNC,"['boy band', 'dance pop', 'pop']",2652765,78
Zion & Lennox,"['reggaeton', 'urbano latino']",7716760,77
Pink Floyd,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",20941008,80
Max McNown,[],213824,68
Christina Aguilera,"['dance pop', 'pop']",8505642,79
Angelina Mango,['italian pop'],455240,67
Trippie Redd,"['melodic rap', 'rap', 'trap']",9853440,82
41,['new york drill'],234717,70
d4vd,"['bedroom pop', 'bedroom r&b']",2989648,79
Ralphie Choo,"['indie r&b', 'urbano espanol']",67766,63
Guè,"['italian hip hop', 'italian pop']",2590552,75
Walls of Jericho,"['groove metal', 'melodic metalcore']",113002,34
Phoenix,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais', 'shimmer pop']",1941449,68
Fridayy,[],244243,67
D-Event,[],119,12
Daft Punk,"['electro', 'filter house', 'rock']",10180954,82
Hombres G,"['latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish rock']",4470254,73
Lennox,[],22621,56
Luis R Conriquez,"['corrido', 'sad sierreno', 'sierreno']",6413488,86
Cyndi Lauper,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",2847900,73
Crowded House,"['australian rock', 'permanent wave']",873841,70
Bruno Mars,"['dance pop', 'pop']",60003606,94
Emre Fel,['turkish singer-songwriter'],307348,67
Fuerza Regida,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",11716582,89
Brand Nubian,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop']",235505,42
Metro Boomin,['rap'],9364070,90
Common,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'hardcore hip hop', 'hip hop', 'political hip hop']",977132,62
Skepta,"['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']",1355582,73
Lady Gaga,"['art pop', 'dance pop', 'pop']",31956338,91
Kenia OS,"['latin viral pop', 'urbano mexicano']",5471881,76
Black Moon,"['east coast hip hop', 'hardcore hip hop']",196532,44
J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",24672169,86
Nazan Öncel,"['turkish instrumental', 'turkish pop', 'turkish singer-songwriter']",648279,61
Rick Ross,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",7361101,77
Aventura,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",8837387,81
John Maus,"['art pop', 'baroque pop', 'experimental pop', 'grave wave', 'hypnagogic pop', 'noise pop']",215251,49
Sabrina Carpenter,['pop'],13411940,95
Tobÿ,"['chill house', 'saxophone house', 'tropical house']",8054,55
Artemas,[],949595,80
Delaporte,['spanish indie pop'],67113,48
jüle.,[],2842,49
Vacra,['pop urbaine'],87267,68
Ultimo,"['italian adult pop', 'italian pop']",3609344,72
Gaby Music,"['pop reggaeton', 'trap latino', 'urbano latino']",71661,67
sombr,[],183630,63
HUGEL,['deep house'],337471,77
ASTRO,"['k-pop', 'k-pop boy group']",2135919,56
The LOX,"['dirty south rap', 'east coast hip hop', 'hardcore hip hop']",565965,53
Can Kazaz,"['turkish alt pop', 'turkish rock']",368546,60
Franglish,"['french hip hop', 'pop urbaine', 'r&b francais']",1518752,70
Big One,['trap argentino'],625399,74
Caleb Calloway,['urbano latino'],22000,57
Pixies,"['alternative rock', 'boston rock', 'permanent wave', 'rock']",3100018,72
WIU,['trap brasileiro'],2396042,77
Los Rodriguez,"['argentine rock', 'latin alternative', 'rock en espanol']",717782,61
Lola Young,['uk pop'],246767,61
Chencho Corleone,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",1179171,80
Dee C. Lee,[],3691,27
Quevedo,"['rap canario', 'trap latino', 'urbano latino']",5167466,82
Jowell & Randy,"['reggaeton', 'urbano latino']",4427887,72
David Garrett,"['bow pop', 'pop violin']",498321,53
girl in red,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",7553123,77
The Marías,"['bedroom pop', 'la indie']",1533956,77
Chappell Roan,['indie pop'],3420086,90
Bad Gyal,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']",1805508,75
USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",12200632,83
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",59223975,88
José Mercé,[],140,0
Tate McRae,['pop'],6015586,85
Porter Robinson,"['complextro', 'edm', 'electro house', 'pop dance', 'progressive electro house']",1161706,65
.Feast,['indonesian indie'],731566,67
Sebastian Yatra,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",23127822,80
Doechii,['alternative r&b'],586645,73
Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",45512268,92
Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",18822013,93
Ivan Ferreiro,"['cantautor', 'spanish indie pop']",250193,53
Harry Styles,['pop'],32924302,84
Emilia,['pop argentino'],3603744,81
KHEA,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",5735803,78
Ashanti,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",3186731,72
Joan Dausà,"['cantautor catala', 'indie catala', 'rock catala']",50779,48
Burna Boy,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",10289144,81
Yeah Yeah Yeahs,"['alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave']",1342918,67
InI,['jazz rap'],9756,48
Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",15074614,76
Yomo,"['latin hip hop', 'reggaeton']",1019159,60
Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",8461852,82
Samuraï,[],55622,59
El Barrio,"['pop flamenco', 'rock andaluz', 'rumba', 'spanish pop']",1248326,63
Vance Joy,"['folk-pop', 'modern rock']",3169702,77
Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",38146155,88
Ayra Starr,['afrobeats'],3685293,79
Madison Beer,['pop'],7075347,75
24kGoldn,"['cali rap', 'pop rap']",2243020,71
Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",14127130,92
Tiakola,"['french hip hop', 'pop urbaine']",2345961,79
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",92351724,96
Rod Wave,['florida rap'],7849822,79
Hi-Tech,['golden age hip hop'],7787,32
Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",12634148,84
Jazzy Skye,[],31832,38
IONA,['lo-fi jazzhop'],822,43
Beyoncé,"['pop', 'r&b']",38706073,87
Dani Martín,"['spanish pop', 'spanish pop rock']",920025,62
"Héctor ""El Father""","['reggaeton', 'urbano latino']",835791,67
The Goo Goo Dolls,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",2925517,76
Airbag,['argentine rock'],863197,69
Billy Joel,"['album rock', 'classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",6312751,79
Swallow The Sun,"['doom metal', 'finnish death metal', 'finnish doom metal', 'finnish melodeath', 'finnish metal', 'melodic death metal']",147466,43
Maria Becerra,"['pop argentino', 'urbano latino']",7043819,82
Mike Tucker,[],306,12
Roberto Carlos,"['jovem guarda', 'mpb']",5992940,71
Andrés Koi,[],6485,33
