artist,name,date,time,venue,location,price_range
Haze,Haze + Zopp,2024-12-15,19:00:00,Southampton 1865,"Southampton, Great Britain",N/A
Haze,Green Haze (Green Day Tribute),2025-01-04,21:00:00,Horn @ St Albans,"St Albans, Great Britain",N/A
Haze,Green Haze (Green Day Tribute),2025-08-02,19:30:00,Hertford Corn Exchange,"Hertford, Great Britain",N/A
Haze,The Domino Effect featuring Kayo + Gold Haze + Tri Nohbi + Nathan Nzan,2024-10-26,20:00:00,Reggie's Rock Club,"Chicago, United States Of America",N/A
Haze,Roxeanne Hazes,2025-03-29,20:00:00,PHIL,"Haarlem, Netherlands",32.5-32.5 EUR
Haze,André Hazes Live - Alles kan vanavond,2024-11-22,20:30:00,Trixxo Theater Hasselt,"Hasselt, Belgium",49.5-59.5 EUR
Haze,André Hazes - - Gastenlijst – Clubtour + support: Senna,2024-11-24,20:00:00,SPOT / De Oosterpoort,"Groningen, Netherlands",35.0-35.0 EUR
Lil Wayne,LIL WAYNE,2024-10-12,21:00:00,Mohegan Sun Arena,"Uncasville, United States Of America",N/A
Lil Wayne,Lil Wayne,2024-10-17,19:30:00,Schottenstein Center,"Columbus, United States Of America",N/A
Lil Wayne,Lil Wayne,2024-10-17,19:00:00,Schottenstein Center,"Columbus, United States Of America",N/A
Lil Wayne,Lil Wayne,2024-10-19,19:00:00,Fiserv Forum,"Milwaukee, United States Of America",N/A
Lil Wayne,Lil Wayne - LIVE IN CONCERT,2024-10-17,19:00:00,Schottenstein Center,"Columbus, United States Of America",53.5-213.5 USD
Lil Wayne,Lil Wayne: LIVE IN CONCERT,2024-10-12,21:00:00,Mohegan Sun Arena,"Uncasville, United States Of America",39.5-149.5 USD
Lil Wayne,Lil Wayne: LIVE IN CONCERT,2024-10-11,19:00:00,MVP Arena,"Albany, United States Of America",39.0-209.0 USD
Lil Wayne,Lil Wayne - LIVE IN CONCERT,2024-10-16,19:00:00,KFC Yum! Center,"Louisville, United States Of America",53.0-215.0 USD
Lil Wayne,Lil Wayne - LIVE IN CONCERT,2024-10-19,19:00:00,Fiserv Forum,"Milwaukee, United States Of America",49.0-209.0 USD
Lil Wayne,Lil Wayne LIVE IN CONCERT,2025-02-01,20:00:00,Adventist Health Arena,"Stockton, United States Of America",39.0-289.0 USD
Lil Wayne,SUITE- Lil Wayne,2024-10-11,19:00:00,MVP Arena Parking,"N/A, N/A",N/A
Lil Wayne,Lil Wayne Deposit,2024-10-19,19:00:00,VIP Passes,"Milwaukee, United States Of America",N/A
Lil Wayne,Lil Wayne: Live in Concert,2024-10-11,19:00:00,MVP Arena,"N/A, N/A",N/A
Lil Wayne,Lil Weezyana Fest,2024-11-02,19:00:00,Smoothie King Center,"New Orleans, United States Of America",55.0-270.5 USD
Black Pumas,Black Pumas,2024-10-28,19:00:00,O2 Academy Bristol,"Bristol, Great Britain",36.5-36.5 GBP
Black Pumas,Black Pumas,2024-10-29,19:30:00,Royal Albert Hall,"London, Great Britain",32.5-65.0 GBP
Black Pumas,Black Pumas,2024-11-02,21:00:00,Sant Jordi Club,"Barcelona, Spain",42.0-42.0 EUR
Black Pumas,Jaron Marshall (Black Pumas),2024-11-19,19:00:00,The Wonder Bar,"Asbury Park, United States Of America",20.0-20.0 USD
Black Pumas,JaRon Marshall (of Black Pumas),2024-11-24,19:00:00,The Drake Hotel,"Toronto, Canada",32.0-32.0 CAD
Paul Collins,PAUL COLLINS' BEAT,2024-11-07,20:00:00,Bar le Ritz PDB,"Montreal, Canada",N/A-N/A CAD
Paul Collins,Roddy Collins In Conversation with Paul Howard,2024-11-30,19:00:00,Ambassador Theatre,"Dublin, Ireland",39.25-39.25 EUR
Paul Collins,Judy Collins: Holidays & Hits Tour,2024-12-18,19:30:00,CH Mayo Presentation Hall at Mayo Civic Center,"Rochester, United States Of America",29.5-64.5 USD
Triana,Triana le canta a la Navidad - Concierto flamenco,2024-12-14,20:00:00,N/A,"N/A, N/A",N/A-N/A EUR
Lil Baby,"MC Magic, Baby Bash & Lil Rob",2024-11-30,19:00:00,House of Blues Las Vegas ,"Las Vegas, United States Of America",60.5-77.5 USD
Lil Baby,How The West Was Won,2024-11-16,19:30:00,Acrisure Arena at Greater Palm Springs,"Palm Desert, United States Of America",39.5-149.5 USD
Lil Baby,Don't Fall In Love Fest,2024-11-02,12:00:00,NOS Events Center,"San Bernardino, United States Of America",N/A
Lil Baby,Rolling Loud,2024-12-13,N/A,Hard Rock Stadium,"Miami, United States Of America",N/A
SZA,SZA - SOS Tour,2025-12-05,20:00:00,Scotiabank Arena,"Toronto, Canada",49.5-259.5 CAD
SZA,102.7 KIIS FMs Jingle Ball Presented by Capital One,2024-12-06,19:30:00,Intuit Dome,"Inglewood, United States Of America",43.5-758.5 USD
SZA,WIRELESS FESTIVAL MIDDLE EAST,2024-11-23,N/A,"Etihad Park, Yas Drive","Abu Dhabi, United Arab Emirates",258.75-2750.0 AED
Adam Port,Keinemusik,2025-08-23,15:30:00,N/A,"Berlin, Germany",62.0-62.0 EUR
