artist,genres,followers,popularity,source_date
Haze glitch,[],11520,28,20241011
Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",15348626,87,20241011
Black Pumas,['retro soul'],1057351,64,20241011
Paul Collins,['movie tunes'],816,33,20241011
Triana,[],225,32,20241011
Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",18679330,87,20241011
SZA,"['pop', 'r&b', 'rap']",23537466,90,20241011
Adam Port,['melodic house'],199038,77,20241011
The Notorious B.I.G.,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",10794906,79,20241011
Takuya Kuroda,"['contemporary jazz', 'indie jazz', 'japanese jazz']",128192,41,20241011
Natasha Bedingfield,"['dance pop', 'pop', 'post-teen pop']",1824587,76,20241011
Yandel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",7977928,81,20241011
Capo Plaza,"['italian hip hop', 'italian pop', 'trap italiana']",3879992,74,20241011
Roger Miller,"['classic country pop', 'classic oklahoma country', 'nashville sound']",276099,54,20241011
Luvcat,[],66267,53,20241011
Noah Kahan,"['pov: indie', 'singer-songwriter pop']",3441548,87,20241011
Estopa,"['pop flamenco', 'rumba', 'spanish pop']",2092273,71,20241011
Benson Boone,['singer-songwriter pop'],3692919,86,20241011
Topic,"['german dance', 'pop dance', 'pop edm', 'uk dance']",263828,76,20241011
LOS NIKIS,['spanish new wave'],35129,37,20241011
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27071086,92,20241011
No Te Va Gustar,"['latin alternative', 'reggae uruguayo', 'rock en espanol', 'rock uruguayo']",2350906,70,20241011
*NSYNC,"['boy band', 'dance pop', 'pop']",2652765,78,20241011
Zion & Lennox,"['reggaeton', 'urbano latino']",7716760,77,20241011
Pink Floyd,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",20941008,80,20241011
Max McNown,[],213824,68,20241011
Christina Aguilera,"['dance pop', 'pop']",8505642,79,20241011
Angelina Mango,['italian pop'],455240,67,20241011
Trippie Redd,"['melodic rap', 'rap', 'trap']",9853440,82,20241011
41,['new york drill'],234717,70,20241011
d4vd,"['bedroom pop', 'bedroom r&b']",2989648,79,20241011
Ralphie Choo,"['indie r&b', 'urbano espanol']",67766,63,20241011
Guè,"['italian hip hop', 'italian pop']",2590552,75,20241011
Walls of Jericho,"['groove metal', 'melodic metalcore']",113002,34,20241011
Phoenix,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais', 'shimmer pop']",1941449,68,20241011
Fridayy,[],244243,67,20241011
D-Event,[],119,12,20241011
Daft Punk,"['electro', 'filter house', 'rock']",10180954,82,20241011
Hombres G,"['latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish rock']",4470254,73,20241011
Lennox,[],22621,56,20241011
Luis R Conriquez,"['corrido', 'sad sierreno', 'sierreno']",6413488,86,20241011
Cyndi Lauper,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",2847900,73,20241011
Crowded House,"['australian rock', 'permanent wave']",873841,70,20241011
Bruno Mars,"['dance pop', 'pop']",60003606,94,20241011
Emre Fel,['turkish singer-songwriter'],307348,67,20241011
Fuerza Regida,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",11716582,89,20241011
Brand Nubian,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop']",235505,42,20241011
Metro Boomin,['rap'],9364070,90,20241011
Common,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'hardcore hip hop', 'hip hop', 'political hip hop']",977132,62,20241011
Skepta,"['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']",1355582,73,20241011
Lady Gaga,"['art pop', 'dance pop', 'pop']",31956338,91,20241011
Kenia OS,"['latin viral pop', 'urbano mexicano']",5471881,76,20241011
Black Moon,"['east coast hip hop', 'hardcore hip hop']",196532,44,20241011
J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",24672169,86,20241011
Nazan Öncel,"['turkish instrumental', 'turkish pop', 'turkish singer-songwriter']",648279,61,20241011
Rick Ross,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",7361101,77,20241011
Aventura,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",8837387,81,20241011
John Maus,"['art pop', 'baroque pop', 'experimental pop', 'grave wave', 'hypnagogic pop', 'noise pop']",215251,49,20241011
Sabrina Carpenter,['pop'],13411940,95,20241011
Tobÿ,"['chill house', 'saxophone house', 'tropical house']",8054,55,20241011
Artemas,[],949595,80,20241011
Delaporte,['spanish indie pop'],67113,48,20241011
jüle.,[],2842,49,20241011
Vacra,['pop urbaine'],87267,68,20241011
Ultimo,"['italian adult pop', 'italian pop']",3609344,72,20241011
Gaby Music,"['pop reggaeton', 'trap latino', 'urbano latino']",71661,67,20241011
sombr,[],183630,63,20241011
HUGEL,['deep house'],337471,77,20241011
ASTRO,"['k-pop', 'k-pop boy group']",2135919,56,20241011
The LOX,"['dirty south rap', 'east coast hip hop', 'hardcore hip hop']",565965,53,20241011
Can Kazaz,"['turkish alt pop', 'turkish rock']",368546,60,20241011
Franglish,"['french hip hop', 'pop urbaine', 'r&b francais']",1518752,70,20241011
Big One,['trap argentino'],625399,74,20241011
Caleb Calloway,['urbano latino'],22000,57,20241011
Pixies,"['alternative rock', 'boston rock', 'permanent wave', 'rock']",3100018,72,20241011
WIU,['trap brasileiro'],2396042,77,20241011
Los Rodriguez,"['argentine rock', 'latin alternative', 'rock en espanol']",717782,61,20241011
Lola Young,['uk pop'],246767,61,20241011
