artist,name,date,time,venue,location,price_range,source_date,city,country,min_price_EUR,max_price_EUR
Haze,Haze + Zopp,15-12-2024,19:00:00,Southampton 1865,"Southampton, Great Britain",,20241011,Southampton,Great Britain,,
Haze,Green Haze (Green Day Tribute),04-01-2025,21:00:00,Horn @ St Albans,"St Albans, Great Britain",,20241011,St Albans,Great Britain,,
Haze,Green Haze (Green Day Tribute),02-08-2025,19:30:00,Hertford Corn Exchange,"Hertford, Great Britain",,20241011,Hertford,Great Britain,,
Haze,The Domino Effect featuring Kayo + Gold Haze + Tri Nohbi + Nathan Nzan,26-10-2024,20:00:00,Reggie's Rock Club,"Chicago, United States Of America",,20241011,Chicago,United States Of America,,
Haze,Roxeanne Hazes,29-03-2025,20:00:00,PHIL,"Haarlem, Netherlands",32.5-32.5 EUR,20241011,Haarlem,Netherlands,32.5,32.5
Haze,André Hazes Live - Alles kan vanavond,22-11-2024,20:30:00,Trixxo Theater Hasselt,"Hasselt, Belgium",49.5-59.5 EUR,20241011,Hasselt,Belgium,49.5,59.5
Haze,André Hazes - - Gastenlijst – Clubtour + support: Senna,24-11-2024,20:00:00,SPOT / De Oosterpoort,"Groningen, Netherlands",35.0-35.0 EUR,20241011,Groningen,Netherlands,35.0,35.0
Lil Wayne,LIL WAYNE,12-10-2024,21:00:00,Mohegan Sun Arena,"Uncasville, United States Of America",,20241011,Uncasville,United States Of America,,
Lil Wayne,Lil Wayne,17-10-2024,19:30:00,Schottenstein Center,"Columbus, United States Of America",,20241011,Columbus,United States Of America,,
Lil Wayne,Lil Wayne,17-10-2024,19:00:00,Schottenstein Center,"Columbus, United States Of America",,20241011,Columbus,United States Of America,,
Lil Wayne,Lil Wayne,19-10-2024,19:00:00,Fiserv Forum,"Milwaukee, United States Of America",,20241011,Milwaukee,United States Of America,,
Lil Wayne,Lil Wayne - LIVE IN CONCERT,17-10-2024,19:00:00,Schottenstein Center,"Columbus, United States Of America",53.5-213.5 USD,20241011,Columbus,United States Of America,50.82,202.82
Lil Wayne,Lil Wayne: LIVE IN CONCERT,12-10-2024,21:00:00,Mohegan Sun Arena,"Uncasville, United States Of America",39.5-149.5 USD,20241011,Uncasville,United States Of America,37.52,142.03
Lil Wayne,Lil Wayne: LIVE IN CONCERT,11-10-2024,19:00:00,MVP Arena,"Albany, United States Of America",39.0-209.0 USD,20241011,Albany,United States Of America,37.05,198.55
Lil Wayne,Lil Wayne - LIVE IN CONCERT,16-10-2024,19:00:00,KFC Yum! Center,"Louisville, United States Of America",53.0-215.0 USD,20241011,Louisville,United States Of America,50.35,204.25
Lil Wayne,Lil Wayne - LIVE IN CONCERT,19-10-2024,19:00:00,Fiserv Forum,"Milwaukee, United States Of America",49.0-209.0 USD,20241011,Milwaukee,United States Of America,46.55,198.55
Lil Wayne,Lil Wayne LIVE IN CONCERT,01-02-2025,20:00:00,Adventist Health Arena,"Stockton, United States Of America",39.0-289.0 USD,20241011,Stockton,United States Of America,37.05,274.55
Lil Wayne,SUITE- Lil Wayne,11-10-2024,19:00:00,MVP Arena Parking,"N/A, N/A",,20241011,N/A,N/A,,
Lil Wayne,Lil Wayne Deposit,19-10-2024,19:00:00,VIP Passes,"Milwaukee, United States Of America",,20241011,Milwaukee,United States Of America,,
Lil Wayne,Lil Wayne: Live in Concert,11-10-2024,19:00:00,MVP Arena,"N/A, N/A",,20241011,N/A,N/A,,
